date,tweetid,userid,username,text,coordinates
b'Mon Dec 18 13:49:13 +0000 2017',9.42754E+17,1901380195,b'Mr Downside \xe2\x9b\x84',"b""@WhiteBoyDan97 normal, white sugar, cubes are for sex offenders\n\nbut I don't put anything in tea, and I prefer coffee""","{'type': 'Point', 'coordinates': [4.95368, 52.31433]}"
b'Mon Dec 18 13:49:16 +0000 2017',9.42754E+17,7.72809E+17,b'\xd0\x94\xd0\xb8\xd1\x88\xd0\xb0',"b'@iamlegend1927 \xd0\x90 \xd1\x82\xd1\x8b \xd0\xba\xd0\xb0\xd0\xba \xd0\xb1\xd1\x8b\xd0\xbb \xd1\x81\xd1\x83\xd0\xba\xd0\xbe\xd0\xb9, \xd1\x82\xd0\xb0\xd0\xba \xd0\xb8 \xd0\xbe\xd1\x81\xd1\x82\xd0\xb0\xd0\xbb\xd1\x81\xd1\x8f :3'","{'type': 'Point', 'coordinates': [4.89320755, 52.3735032]}"
b'Mon Dec 18 13:49:18 +0000 2017',9.42754E+17,219038925,b'Carla',b'@jorisluyendijk @wol Ik word al misselijk bij het idee dat die man politicus van het jaar wordt. De zelfgenoegzaamh\xe2\x80\xa6 https://t.co/cBxPYxk5Kw',"{'type': 'Point', 'coordinates': [4.8932, 52.3731]}"
b'Mon Dec 18 13:49:24 +0000 2017',9.42754E+17,209304394,b'Lloyd de Meza | LDM',b'Winter survival gear \xf0\x9f\x92\xaa @nobisinc organza_men #Nobis #jackets #warm #qualitycontrol #Dope\xe2\x80\xa6 https://t.co/FoSI7r9Uzm',"{'type': 'Point', 'coordinates': [4.815239, 52.311659]}"
b'Mon Dec 18 13:49:28 +0000 2017',9.42754E+17,1901380195,b'Mr Downside \xe2\x9b\x84',"b""@TheNeilesh @Vinnyiow Like I'd do that to myself""","{'type': 'Point', 'coordinates': [4.87750053, 52.33119565]}"
b'Mon Dec 18 13:49:29 +0000 2017',9.42754E+17,140813476,b'\xca\x80\xca\x8a\xc9\x96\xc9\xa8\xc9\xa8.',"b'#NAPijburg ... I\xe2\x80\x99m your neighbor. Cute spot. I\xe2\x80\x99ve come to your establishment a few times.... Tell me, Why does your\xe2\x80\xa6 https://t.co/eRKbGfWkgV'","{'type': 'Point', 'coordinates': [4.8932, 52.3731]}"
b'Mon Dec 18 13:49:56 +0000 2017',9.42754E+17,1901380195,b'Mr Downside \xe2\x9b\x84',"b""@OveractivePot @TheNeilesh @Vinnyiow A'ight""","{'type': 'Point', 'coordinates': [4.8932, 52.3731]}"
b'Mon Dec 18 13:49:57 +0000 2017',9.42754E+17,28377532,b'Guto',b'Vamo fazendo https://t.co/VEFH5jZJhb',"{'type': 'Point', 'coordinates': [4.89320755, 52.3735032]}"
b'Mon Dec 18 13:50:04 +0000 2017',9.42754E+17,2893202927,b'Denise',b'George Michael \xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f',"{'type': 'Point', 'coordinates': [4.611793, 52.467293]}"
b'Mon Dec 18 13:50:10 +0000 2017',9.42754E+17,124131177,b'Jorrit bolhuis',b'Amsterdam Light Festival 2017/2018 Nemo &amp; Thinline #aiweiwei #nemo #amsterdam\xe2\x80\xa6 https://t.co/3pKuetcmT8',"{'type': 'Point', 'coordinates': [4.88786666, 52.35170765]}"
b'Mon Dec 18 13:50:19 +0000 2017',9.42754E+17,50293253,b'NLR',b'What a beautiful sight these historic planes above NLR Amsterdam https://t.co/jMwrw3S5rE',"{'type': 'Point', 'coordinates': [4.8932, 52.3731]}"
b'Mon Dec 18 13:50:19 +0000 2017',9.42754E+17,6.99058E+17,b'Framboisa',b'acho mt estranho pessoas novas com cara de velha',"{'type': 'Point', 'coordinates': [4.8951679, 52.3702157]}"
b'Mon Dec 18 13:50:26 +0000 2017',9.42754E+17,7.19885E+17,b'Various Jams',b'Almost too easy https://t.co/jzpLY1eEp1',"{'type': 'Point', 'coordinates': [4.79903647, 52.27969297]}"
b'Mon Dec 18 13:50:49 +0000 2017',9.42754E+17,26343460,b'Jos\xc3\xa9 \xf0\x9f\x8c\x88',b'@ZDVW_Crew How you doin? https://t.co/OnWgkoKe1q',"{'type': 'Point', 'coordinates': [4.8932, 52.3731]}"
b'Mon Dec 18 13:50:58 +0000 2017',9.42754E+17,28377532,b'Guto',b'@mendesdit am\xc3\xa9m que acabou por isso!!!!!',"{'type': 'Point', 'coordinates': [4.90388, 52.36238]}"
