date,tweetid,userid,username,text,coords
b'Mon Dec 18 11:31:38 +0000 2017',942718998856249000,615223589,b'Massimiliano',b'Aerei USA della seconda guerra mondiale - Douglas A 20 Havoc - https://t.co/z9tSPuQKTA via @Shareaholic',"{'type': 'Point', 'coordinates': [11.35394, 44.51408]}"
b'Mon Dec 18 11:31:40 +0000 2017',942719006930325000,758737897,b'Zebio Firmato Cotal',"b'Siamo a met\xc3\xa0 dicembre, arrivare quantomeno ad Aprile sar\xc3\xa0 un viaggio iniziatico (delle porcate del governo Renzilon\xe2\x80\xa6 https://t.co/e8H8a32Ref'","{'type': 'Point', 'coordinates': [10.6532, 44.7245]}"
b'Mon Dec 18 11:31:41 +0000 2017',942719008628977000,2749033591,b'100ITA',"b'#Tagliatelle with #speck, #radicchio, #walnuts and white #yogurt - \nA #delicious #combination of #aromas and\xe2\x80\xa6 https://t.co/cIWcDY9hsV'","{'type': 'Point', 'coordinates': [11.31616, 44.50288]}"
b'Mon Dec 18 11:31:52 +0000 2017',942719056985120000,12092382,b'barganews',"b'https://t.co/wlwNoh30rt\n\nVilla Stefani \xe2\x80\x93 Filming first world war documentary video \nGiovanni Agresti, Roberto Bianc\xe2\x80\xa6 https://t.co/VmqxRWjeGz'","{'type': 'Point', 'coordinates': [11.4240146, 44.4908579]}"
b'Mon Dec 18 11:31:57 +0000 2017',942719078950686000,615223589,b'Massimiliano',b'Aerei USA della seconda guerra mondiale - Douglas C 47 Skytrain - https://t.co/aKwxjwQPyZ via @Shareaholic',"{'type': 'Point', 'coordinates': [11.40949, 44.51301]}"
b'Mon Dec 18 11:32:09 +0000 2017',942719128078573000,151004376,b'Finestra Libera',b'Foto appena pubblicata @ Infra[RED] https://t.co/fSnXOCG1jq',"{'type': 'Point', 'coordinates': [10.85393849, 44.64772805]}"
b'Mon Dec 18 11:32:17 +0000 2017',942719158990573000,421098361,b'Quella in ritardo',b'Stavo per fare il regalo di Natale al mio vicino di casa cio\xc3\xa8 investirlo',"{'type': 'Point', 'coordinates': [11.3425999, 44.50565]}"
b'Mon Dec 18 11:32:31 +0000 2017',942719217631203000,4567752387,b'Dany e Ci \xe2\x9d\x84\xf0\x9f\x92\x91\xe2\x9d\x84\xe2\x98\x83\xef\xb8\x8f\xe2\x9d\x84\xe2\x98\x83\xef\xb8\x8f\xe2\x9d\x84\xe2\x9b\x84\xe2\x9d\x84\xe2\x9b\x84\xe2\x9d\x84',b'@DidierMagris @Cristin97215062 @DestroEmilio @Sam76Sr @15466lf Grazie Didier buona giornata',"{'type': 'Point', 'coordinates': [10.38311, 43.8521]}"
b'Mon Dec 18 11:32:43 +0000 2017',942719271024590000,931183445258199000,b'\xd9\x85\xd9\x86\xd8\xb0\xd8\xb1 \xd8\xa3\xd8\xa8\xd9\x86 \xd9\x85\xd8\xa7\xd8\xa1 \xd8\xa7\xd9\x84\xd8\xb3\xd9\x85\xd8\xa7\xd8\xa1',b'\xd9\x81\xd9\x86\xd8\xa7\xd9\x86 \xd8\xa7\xd9\x84\xd8\xab\xd9\x88\xd8\xb1\xd9\x87 \xd9\x88\xd8\xa7\xd9\x84\xd8\xb4\xd8\xb9\xd8\xa8 \xd9\x81\xd9\x8a \xd8\xb0\xd9\x85\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x84\xd9\x87  https://t.co/hHViIANk6I',"{'type': 'Point', 'coordinates': [10.50329722, 43.84615]}"
b'Mon Dec 18 11:32:45 +0000 2017',942719276691148000,615223589,b'Massimiliano',b'Aerei USA della seconda guerra mondiale - Grumman F6F Hellcat - https://t.co/HxQhHQi2b8 via @Shareaholic',"{'type': 'Point', 'coordinates': [11.34269714, 44.49552576]}"
b'Mon Dec 18 11:32:59 +0000 2017',942719336355127000,4905839116,b'Albert',b'\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xe2\x9a\xbd\xe2\x9a\xbd\xe2\x9a\xbd\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99 https://t.co/GTFlyI4BKd',"{'type': 'Point', 'coordinates': [10.65, 44.9167]}"
b'Mon Dec 18 11:33:06 +0000 2017',942719367590154000,615223589,b'Massimiliano',b'Aerei USA della seconda guerra mondiale - Grumman TBF Avenger - https://t.co/jMPiNMvijk via @Shareaholic',"{'type': 'Point', 'coordinates': [11.05609, 44.59157]}"
b'Mon Dec 18 11:33:24 +0000 2017',942719442982719000,915140514307039000,b'Lola De Lesseps',"b""-il 33 ritarda di dieci minuti a caso\n-mi fa perdere il 30\n-cerco l'11 per non dover aspettare, la fermata \xc3\xa8 deviat\xe2\x80\xa6 https://t.co/4RaGAk9giS""","{'type': 'Point', 'coordinates': [11.39968382, 44.46439426]}"
b'Mon Dec 18 11:33:32 +0000 2017',942719474603646000,615223589,b'Massimiliano',b'Aerei USA della seconda guerra mondiale - Lockheed P 38 Lightning - https://t.co/4YFEA2Tgqk via @Shareaholic',"{'type': 'Point', 'coordinates': [11.45985095, 44.49356525]}"
b'Mon Dec 18 11:33:53 +0000 2017',942719564953083000,14958627,b'MaddalenaDeBernardi',"b'La vita \xc3\xa8 un ponte: attraversalo, ma non pensare di costruirci una casa\nDetto indiano @ Reggio\xe2\x80\xa6 https://t.co/COt8X0LYBO'","{'type': 'Point', 'coordinates': [10.91874, 43.93035]}"
b'Mon Dec 18 11:34:03 +0000 2017',942719607579832000,615223589,b'Massimiliano',b'Aerei USA della seconda guerra mondiale - Martin B 26 Marauder - https://t.co/OsYcwowBv2 via @Shareaholic',"{'type': 'Point', 'coordinates': [11.08586, 43.8462]}"
b'Mon Dec 18 11:34:27 +0000 2017',942719705852383000,615223589,b'Massimiliano',b'Aerei USA della seconda guerra mondiale - North American B 25 Mitchell - https://t.co/TVOLWkw36S via @Shareaholic',"{'type': 'Point', 'coordinates': [11.412458, 44.472565]}"
b'Mon Dec 18 11:34:41 +0000 2017',942719766913003000,4905839116,b'Albert',b'Prima di bussare leggere attentamente \xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa https://t.co/aX83Yw3DPT',"{'type': 'Point', 'coordinates': [10.91444444, 43.92694444]}"
b'Mon Dec 18 11:34:46 +0000 2017',942719785258844000,615223589,b'Massimiliano',b'Aerei USA della seconda guerra mondiale - North American P 51 Mustang - https://t.co/nxAbgGJ7eq via @Shareaholic',"{'type': 'Point', 'coordinates': [11.3514, 44.5075]}"
b'Mon Dec 18 11:34:56 +0000 2017',942719827822686000,869873746559062000,b'Conci',"b""@MarleyBrandy Per\xc3\xb2 le ns femministe \xc3\xa8 colpa della Boschi perch\xc3\xa9 non ci si veste cos\xc3\xac se l'\xc3\xa8 cercata e non \xc3\xa8 abbastanza povera wle donne""","{'type': 'Point', 'coordinates': [11.3514, 44.5075]}"
b'Mon Dec 18 11:35:08 +0000 2017',942719878204678000,615223589,b'Massimiliano',b'Aerei USA della seconda guerra mondiale - Republic P 47 Thunderbolt - https://t.co/VEY1qYiFq9 via @Shareaholic',"{'type': 'Point', 'coordinates': [11.71730455, 44.3446025]}"
b'Mon Dec 18 11:35:15 +0000 2017',942719909066366000,4905839116,b'Albert',b'\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x80 https://t.co/Y56fgPRttJ',"{'type': 'Point', 'coordinates': [11.3514, 44.5075]}"
b'Mon Dec 18 11:36:01 +0000 2017',942720102172168000,2848545947,b'my lord',b'\xf0\x9f\x8c\xbb https://t.co/Qyd2bXc6qR',"{'type': 'Point', 'coordinates': [11.71730455, 44.3446025]}"
b'Mon Dec 18 11:36:17 +0000 2017',942720168274419000,758737897,b'Zebio Firmato Cotal',b'Da Diamanti non nasce niente\nDal letame nascono i fiori (semicit.) https://t.co/2jLM6uPoe8',"{'type': 'Point', 'coordinates': [11.28157, 44.49799]}"
b'Mon Dec 18 11:36:25 +0000 2017',942720201925300000,4905839116,b'Albert',b'Preparatevi il NATALE si avvicina\xf0\x9f\x8e\x85\xf0\x9f\x90\x9e\xf0\x9f\x8e\x85\xf0\x9f\x8c\xb2\xf0\x9f\x8e\x85\xf0\x9f\x90\x9e https://t.co/Q3ieeePOgI',"{'type': 'Point', 'coordinates': [10.93, 44.64]}"
b'Mon Dec 18 11:37:04 +0000 2017',942720366694273000,4905839116,b'Albert',b'\xf0\x9f\x8e\x85\xf0\x9f\x8c\xb2\xf0\x9f\x8e\x85\xf0\x9f\x8c\xb2\xf0\x9f\x8e\x85\xf0\x9f\x8c\xb2\xf0\x9f\x8e\x85\xf0\x9f\x8c\xb2\xf0\x9f\x8e\x85\xf0\x9f\x8c\xb2\xf0\x9f\x8e\x85 https://t.co/1PKQ85Pooy',"{'type': 'Point', 'coordinates': [10.6388176, 44.7020335]}"
b'Mon Dec 18 11:37:38 +0000 2017',942720508096892000,931183445258199000,b'\xd9\x85\xd9\x86\xd8\xb0\xd8\xb1 \xd8\xa3\xd8\xa8\xd9\x86 \xd9\x85\xd8\xa7\xd8\xa1 \xd8\xa7\xd9\x84\xd8\xb3\xd9\x85\xd8\xa7\xd8\xa1',b'\xd9\x84\xd9\x86 \xd9\x86\xd8\xb1\xd9\x89 \xd8\xae\xd9\x8a\xd9\x85\xd8\xaa\xd8\xa2 \xd9\x83\xd9\x87\xd8\xb0\xd9\x87 \xd8\xa7\xd9\x84\xd8\xae\xd9\x8a\xd9\x85\xd8\xa9 \xd9\x88\xd9\x84\xd9\x86 \xd9\x86\xd8\xb1\xd9\x89 \xd8\xa5\xd8\xa8\xd8\xaf\xd8\xa7\xd8\xb9 \xd9\x83\xd9\x87\xd8\xb0\xd8\xa7 \xd8\xa7\xd9\x84\xd8\xa3\xd8\xa8\xd8\xaf\xd8\xa7\xd8\xb9 \n\n\xd8\xb9\xd9\x86 \xd8\xae\xd9\x8a\xd9\x85\xd8\xa9 \xd9\x88\xd8\xa5\xd8\xa8\xd8\xaf\xd8\xa7\xd8\xb9 \xd8\xa7\xd9\x84\xd9\x81\xd9\x86\xd8\xa7\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb1\xd8\xa7\xd8\xad\xd9\x84 #\xd9\x85\xd8\xad\xd9\x85\xd8\xaf_\xd8\xad\xd8\xb3\xd9\x86 https://t.co/i77Bz0t6PL',"{'type': 'Point', 'coordinates': [10.78333, 44.541729]}"
