date,tweetid,userid,username,text,coords
b'Mon Dec 18 11:31:48 +0000 2017',942719038198829000,96638910,b'CAPS//',b'Aye I hit the wall with a 3 piece this morning and got my knuckles all ashy but nigggaaaaaaa that shit felt great.\xe2\x80\xa6 https://t.co/DZDrQOJzKt',"{'type': 'Point', 'coordinates': [-0.16305269, 51.49960344]}"
b'Mon Dec 18 11:31:48 +0000 2017',942719038978916000,2220547713,b'-',"b""it's like her voice box is cold and shivering https://t.co/g9zYGzKRjm""","{'type': 'Point', 'coordinates': [-0.16393661, 51.50671243]}"
b'Mon Dec 18 11:31:48 +0000 2017',942719041059377000,293698185,b'Bridgette Parlma',b'\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99 https://t.co/pSm5CApn9m',"{'type': 'Point', 'coordinates': [-0.25008185, 51.49978991]}"
b'Mon Dec 18 11:31:52 +0000 2017',942719057740161000,4396888468,b'Jess Liaudin',b'@CyrilleDiabate J est regard\xc3\xa9 Heat et je me suis dit je vais faire un m\xc3\xa9lange entre le personnage de Val Kilmer et Waingro.',"{'type': 'Point', 'coordinates': [-0.16393661, 51.50671243]}"
b'Mon Dec 18 11:31:53 +0000 2017',942719059564679000,497145453,b'Startle Music',"b'Merry Christmas, Baby by Rod Stewart With Cee Lo Green is #nowplaying in Harrods, London.'","{'type': 'Point', 'coordinates': [-0.03661, 51.516752]}"
b'Mon Dec 18 11:31:54 +0000 2017',942719062890766000,2821179705,b'toa la Pe\xc3\xb1a',b'Winter Wonderland \nPhotographer: https://t.co/MqchDNdHmz \nModel: @double_savage \n#liere_von_can\xe2\x80\xa6 https://t.co/UKJl74OK0F',"{'type': 'Point', 'coordinates': [-0.14009768, 51.47469487]}"
b'Mon Dec 18 11:31:57 +0000 2017',942719076211847000,154175199,b'Hilly Tradonsky',b'@Yesh_Dhasiar you\xe2\x80\x99ve definitely got some Jew-blood in you matey https://t.co/1vYO533RyV',"{'type': 'Point', 'coordinates': [-0.12731805, 51.50711486]}"
b'Mon Dec 18 11:31:58 +0000 2017',942719081114947000,257666293,b'SlayyyBabyyy \xe2\x9c\xa8',b'Fashionnova are taking the piss wtf man',"{'type': 'Point', 'coordinates': [-0.12731805, 51.50711486]}"
b'Mon Dec 18 11:31:59 +0000 2017',942719087142203000,16049840,b'Fe\xc3\xb1a Avila',"b'En cl\xc3\xadnica,radi\xc3\xb3logos agregan a los reportes: \xe2\x80\x9ccorrelacionar hallazgos con cl\xc3\xadnica\xe2\x80\x9d. Rayos X no son un verdadero pr\xe2\x80\xa6 https://t.co/2qiUAaSP79'","{'type': 'Point', 'coordinates': [-0.13194444, 51.50166667]}"
b'Mon Dec 18 11:32:00 +0000 2017',942719088127893000,282243776,b'(((MartinBrittain)))',"b'@paddy_carolus @gordon_struth @goddersbloom Engage your brain for a moment, then you might realise why hinting at\xe2\x80\xa6 https://t.co/LBlFq1Ke6B'","{'type': 'Point', 'coordinates': [-0.1423887, 51.5389573]}"
b'Mon Dec 18 11:32:00 +0000 2017',942719088434057000,211412557,b'Trendsmap UK',b'#migrantsday is now trending in United Kingdom\n\nhttps://t.co/W9ah4zgtTa https://t.co/MRYbj6t30d',"{'type': 'Point', 'coordinates': [0.8988837, 51.8594148]}"
b'Mon Dec 18 11:32:00 +0000 2017',942719089889431000,861738860,b'gg\xf0\x9f\x92\x9c',b'@ellanevill_  @laurenrmartin_ Mr B would love this \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/bEYG3AQ4hM',"{'type': 'Point', 'coordinates': [-0.21560632, 51.46709041]}"
b'Mon Dec 18 11:32:01 +0000 2017',942719092162809000,96638910,b'CAPS//',"b'Or just ""black"" idk https://t.co/JZGCCEK9GM'","{'type': 'Point', 'coordinates': [-0.14743056, 51.50875556]}"
b'Mon Dec 18 11:32:04 +0000 2017',942719104447926000,456659773,b'K. C A R R A U\xe2\x9c\x8c\xf0\x9f\x8f\xbc',b'Fight Club meets Star Wars?...I\xe2\x80\x99m in. https://t.co/8GfGrx8fop',"{'type': 'Point', 'coordinates': [0.433333, 51.2167]}"
b'Mon Dec 18 11:32:04 +0000 2017',942719105936838000,1342404870,b'El',b'@abhughesxxx Baby come back',"{'type': 'Point', 'coordinates': [0.416962, 51.5706868]}"
b'Mon Dec 18 11:32:07 +0000 2017',942719117534158000,593553543,b'Mick',"b'@bushontheradio Is this you Bush before radio, the only thing missing is the moustache https://t.co/cBxOJkF6GJ'","{'type': 'Point', 'coordinates': [-0.44353008, 51.53736691]}"
b'Mon Dec 18 11:32:10 +0000 2017',942719132440629000,131436146,b'Paul/',b'@running4rights @Ferretgrove @oflynnmep Why do you want to talk to me then. ? There is nothing wrong with anger whe\xe2\x80\xa6 https://t.co/nY0wQK2VW5',"{'type': 'Point', 'coordinates': [-0.13, 51.51]}"
b'Mon Dec 18 11:32:12 +0000 2017',942719138971217000,928561110,b'in london',b'#np a message - coldplay',"{'type': 'Point', 'coordinates': [-0.166179, 51.459486]}"
b'Mon Dec 18 11:32:12 +0000 2017',942719141487824000,423413519,b'159',b'I love introducing my friends to my other friends',"{'type': 'Point', 'coordinates': [-0.11725183, 51.50591303]}"
b'Mon Dec 18 11:32:18 +0000 2017',942719165093232000,929863844368998000,b'Ultra Ltd',"b'According to a research, 28% of small businesses are planning to outsource some of their services. \xe2\x86\x92\xe2\x80\xa6 https://t.co/7NS53JGXA5'","{'type': 'Point', 'coordinates': [-0.3028965, 51.45656074]}"
