date,tweetid,userid,username,text
b'Mon Dec 18 08:41:58 +0000 2017',9.43E+17,1940066664,b'Jacko',b'Just caught up with @OurBluePlanet and what we are doing to our oceans and marine life is scandalous. One day we wi\xe2\x80\xa6 https://t.co/rGeJIGebEr'
b'Mon Dec 18 08:42:01 +0000 2017',9.43E+17,2529178930,b'Joel Antunes',b'Jungle out there just by crystal palace. Fresh green pure-ish air where great community that\xe2\x80\xa6 https://t.co/aE6vCMa6V3'
b'Mon Dec 18 08:42:01 +0000 2017',9.43E+17,3301696151,b'yas',b'Well I look like an idiot. I won\xe2\x80\x99t even make it to first lesson because traffic \xf0\x9f\x98\x8a https://t.co/JxORB3hiam'
b'Mon Dec 18 08:42:02 +0000 2017',9.43E+17,770233590,b'BisolaMusic',"b""@tiptonmusicco Thank you so much for the retweet. That's awesome of you. Merry Christmas! \xf0\x9f\x98\x80"""
b'Mon Dec 18 08:42:05 +0000 2017',9.43E+17,161982836,b'Kal-i',b'#HUSH\nhttps://t.co/kaus40AIit\nGet your tickets\nIm RED.....RED.....ready\n\n\xf0\x9f\x91\x86\xf0\x9f\x91\x86\xf0\x9f\x91\x86see what i tried\xe2\x80\xa6 https://t.co/2NaI6SuALM'
b'Mon Dec 18 08:42:08 +0000 2017',9.43E+17,9.05E+17,b'Leo',b'@MrBossFTW Gangster'
b'Mon Dec 18 08:42:08 +0000 2017',9.43E+17,7.63E+17,b'VictorOgana \xf0\x9f\x87\xb3\xf0\x9f\x87\xac\xf0\x9f\x87\xac\xf0\x9f\x87\xa7',"b'That moment when, after steam ironing two weeks worth of clothes for an hour, you remember it\xe2\x80\x99s casual week and the\xe2\x80\xa6 https://t.co/xDxcBONrMf'"
b'Mon Dec 18 08:42:09 +0000 2017',9.43E+17,439025453,b'Little Scrummers LWE',"b'Damm elf\xe2\x80\x99s found the bathroom last night #elfontheshelf @ Harlow, Essex https://t.co/DzwaVDfK28'"
b'Mon Dec 18 08:42:11 +0000 2017',9.43E+17,2965891,b'M.A.N.',b'Boeing 777-200 Business Class from London Back to Dallas Forth Worth #businessclass #Boeing777\xe2\x80\xa6 https://t.co/zqL1LsH7tt'
b'Mon Dec 18 08:42:12 +0000 2017',9.43E+17,1298470638,b'Michiel Willems',"b'Hi @KLM @KLM_UK Probeer jullie al 2 dagen te bereiken. Via dat 747 nr wachttijd van 25 mins; via Twitter, WhatsApp\xe2\x80\xa6 https://t.co/MHQEwBb0NV'"
b'Mon Dec 18 08:42:13 +0000 2017',9.43E+17,474846491,b'James Pratters',b'Suffering the worst headache this morning. I need Christmas napping and I need it now! \xf0\x9f\x98\xa9'
b'Mon Dec 18 08:42:17 +0000 2017',9.43E+17,2442566427,b'Fruition Preserves',"b'Markets for year all finished \xf0\x9f\x8d\xbe\xf0\x9f\x8d\xbe Any last minute requests for Xmas goodies, we\xe2\x80\x99ll deliver to SW4 SW2 SW9 SE24 SE27\xe2\x80\xa6 https://t.co/e53uzp3No5'"
b'Mon Dec 18 08:42:19 +0000 2017',9.43E+17,3247305374,b'Holly Emmett',b'https://t.co/0EJLxRJOzp'
b'Mon Dec 18 08:42:19 +0000 2017',9.43E+17,4497575237,b'montana',b'induction day at my new job \xf0\x9f\x8e\x89\xf0\x9f\x99\x87\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
b'Mon Dec 18 08:42:43 +0000 2017',9.43E+17,20499721,b'Bhaskar Mitra',b'My team has an applied research internship opening for summer 2018. The focus will be on neural models for IR/Searc\xe2\x80\xa6 https://t.co/327oah9PvA'
b'Mon Dec 18 08:42:47 +0000 2017',9.43E+17,873411716,b'muhamed kalema',b'Tottenham tour this morning Hrd Bgrove Bwaterpark parkview WGrd Ssst Tthall in 37m work out 6m @Taylor swift only o\xe2\x80\xa6 https://t.co/7YBY6OgWfs'
b'Mon Dec 18 08:42:48 +0000 2017',9.43E+17,897702366,b'Susie19\xf0\x9f\x8d\x8d',b'@UOHelpMeEurope Plse can you contact me about my missing item'
b'Mon Dec 18 08:42:50 +0000 2017',9.43E+17,912855746,b'IwonaWho TL40',b'Wild 3k+ Snorlax I didn\xe2\x80\x99t catch and Skitty in danger @brettsneakers23 @DeadGuyPlays @PokemonGo4NYC @mfourie64 @pt https://t.co/yRw4afQw09'
b'Mon Dec 18 08:42:53 +0000 2017',9.43E+17,3688407562,b'Laura',b'Trying to sleep last night and my head was doing a full 360 degree spin'
b'Mon Dec 18 08:42:53 +0000 2017',9.43E+17,16843256,b'Andrew Wiggins',"b'It\xe2\x80\x99s one week from today! I\xe2\x80\x99ll be eating breakfast, watching Muppets Christmas Carol and worrying about whether the\xe2\x80\xa6 https://t.co/nejzoHNOwe'"
b'Mon Dec 18 08:42:53 +0000 2017',9.43E+17,597144844,b'JAS SIDHU',b'https://t.co/xmfZPvvfZj'
b'Mon Dec 18 08:42:55 +0000 2017',9.43E+17,240299309,b'Yazoomer',"b'This is certainly the case for the winners of #TheApprentice, its not too late to become #entrepreneurs @yazoomer https://t.co/YMcY4CVaTb'"
b'Mon Dec 18 08:43:01 +0000 2017',9.43E+17,555379350,b'imade Idehen',b'@SCOANTBJoshua Please servant of God kindly have compassion on me and pray for my son and daughter in Jesus name I ask by faith'
b'Mon Dec 18 08:43:02 +0000 2017',9.43E+17,306423195,b'The Keep',"b'#DesignerSpotlight: ""we believe in the power of a good morning. A good morning means a great day and who knows what\xe2\x80\xa6 https://t.co/gKhEQyGnSz'"
b'Mon Dec 18 08:43:04 +0000 2017',9.43E+17,7.05E+17,b'Jamie Clark',"b'Don\xe2\x80\x99t put off till tomorrow, what you could be doing today \xf0\x9f\xa4\x99\xf0\x9f\x8f\xbb#MondayMotivation'"
b'Mon Dec 18 08:43:04 +0000 2017',9.43E+17,290204283,b'Matt Brunt',b'@mrjakehumphrey Why do men get more of the above Jake in your opinion?'
b'Mon Dec 18 08:43:05 +0000 2017',9.43E+17,2814384203,b'Dave Packer',b'the best way to start our honeymoon \n#nevertooearly\n#nyc\n#honeymoon @ London Heathrow Airport - LHR https://t.co/pAYA1pJvVn'
b'Mon Dec 18 08:43:05 +0000 2017',9.43E+17,14185449,b'Steve Lewis',b'One week until #YorkshireDoctor #fb'
b'Mon Dec 18 08:43:06 +0000 2017',9.43E+17,240713541,b'\xe2\x9a\x94\xef\xb8\x8f\xc4\xb1Y\xc4\xb1\xe2\x9a\x94\xef\xb8\x8f',b'\xd8\xa5\xd8\xaf\xd9\x85\xd8\xa7\xd9\x86 \xf0\x9f\x92\x89 https://t.co/G58MMcSVKc'
b'Mon Dec 18 08:43:07 +0000 2017',9.43E+17,1346663546,b'Acorn Exhibitions',b'Available now for rental - Nordic Pop-Up Stands for your business needs. Contact Acorn today for pricing and info.\xe2\x80\xa6 https://t.co/XCftbZ4AVP'
b'Mon Dec 18 08:43:09 +0000 2017',9.43E+17,7.13E+17,b'Liv',b'broken.'
b'Mon Dec 18 08:43:10 +0000 2017',9.43E+17,47062440,b'BB',b'Hollywood Teeth Whitening. \nGuaranteed results if minimum 5 shades lighter @ Bonbonsbeauty https://t.co/mDsGTGAA31'
b'Mon Dec 18 08:43:12 +0000 2017',9.43E+17,22190916,b'Sia D-W',b'It\xe2\x80\x99s the laaaaast working week of the yeaaarrr \xf0\x9f\x8e\xb5\xf0\x9f\x8e\xb5\xf0\x9f\x8e\xb5'
b'Mon Dec 18 08:43:12 +0000 2017',9.43E+17,121246530,b'The Lyrical Cynic',"b'For those confused and in disbelief this time next week it will be Christmas day, 18 plus 7 equals 25. It is Decemb\xe2\x80\xa6 https://t.co/YG8Sb3JK4K'"
b'Mon Dec 18 08:43:13 +0000 2017',9.43E+17,417505144,b'Benguin \xf0\x9f\x90\xa7\xe2\x9d\x84\xef\xb8\x8f',b'Had a fun evening at #Winterville with raawrsomee; even if I did lose at Plonk Golf by a point\xe2\x80\xa6 https://t.co/h1qd1jPQnT'
b'Mon Dec 18 08:43:15 +0000 2017',9.43E+17,9.04E+17,b'John \xf0\x9f\x8c\x9f \xf0\x9f\x87\xac\xf0\x9f\x87\xa7',b'@julieo25 \xe2\x98\xba'
b'Mon Dec 18 08:43:16 +0000 2017',9.43E+17,116531702,b'MMM 007\xe2\x84\xa2',b'So @Se_Railway you pull up an empty train at Grove Park and then it goes on empty to London \xf0\x9f\x98\x9e\xf0\x9f\xa4\xaf'
b'Mon Dec 18 08:43:17 +0000 2017',9.43E+17,358648092,b'Chris Shoop-Worrall',b'@TheTotallyShow @acjimbo @ianirvingtv @iainmacintosh Is Dele Alli in trouble of losing his WC place? Disappointing\xe2\x80\xa6 https://t.co/Elo2I12Z2v'
